[ 2017-04-25T15:56:18+08:00 ] /Media/index | INFO: Tag[ route_check ] --START--
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Run CheckRoute Behavior [ RunTime:0.000503s ]
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000595s ]
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000391s ]
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000420s ]
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [8] Undefined index: page MediaAction.class.php 第 13 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [2] Illegal string offset 'intro' MediaAction.class.php 第 24 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [2] Illegal string offset 'intro' MediaAction.class.php 第 24 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [2] Illegal string offset 'intro' MediaAction.class.php 第 24 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [8] Array to string conversion MediaAction.class.php 第 27 行.
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Tag[ view_template ] --START--
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000920s ]
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000964s ]
[ 2017-04-25T15:56:19+08:00 ] /Media/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-25T15:56:19+08:00 ] /Media/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
