[ 2017-04-01T15:29:44+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-04-01T15:29:54+08:00 ] 127.0.0.1 /text/index
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Tag[ route_check ] --START--
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Run CheckRoute Behavior [ RunTime:0.000396s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000459s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000295s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000320s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8] Use of undefined constant _STATIC_ - assumed '_STATIC_' Order.class.php 第 13 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.006988s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SELECT * FROM `member` WHERE id=1 LIMIT 1   [ RunTime:0.007663s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SHOW COLUMNS FROM `order` [ RunTime:0.008000s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SELECT *,case when status=0 then '不完整' when status=1 then '待审核' when status=2 then '待修改' when status=3 then '已分发' when status=4 then '已完成' when status=5 then '订单无效' when status=6 then '订单已删除' end as status_name FROM `order` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.007111s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SHOW COLUMNS FROM `order_pic` [ RunTime:0.006807s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SELECT `user_pic`,`certi_pic`,`loanContract_pic`,`mortContract_pic`,`travelLicense_pic`,`driveLicense_pic`,`carRegistration_pic` FROM `order_pic` WHERE order_id=3 LIMIT 1   [ RunTime:0.238198s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SELECT * FROM `order_pic` WHERE order_id=3 LIMIT 1   [ RunTime:0.006771s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | SQL: SELECT * FROM `order_pic` WHERE order_id=3 LIMIT 1   [ RunTime:0.006916s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Tag[ view_template ] --START--
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001667s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001769s ]
[ 2017-04-01T15:29:54+08:00 ] /text/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-01T15:29:54+08:00 ] /text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
